INCP Health Professionals Total Personal Income (weekly),"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500 or more ($182,000 or more)",Total,Average,Round Down,Return Val
Avoca Beach - Copacabana,0,0,3,8,4,14,20,32,30,45,18,47,17,35,273,1818.131868,1818,"$1,750-$1,999 ($91,000-$103,999)"
Box Head - MacMasters Beach,0,4,3,0,7,16,24,32,46,21,32,31,15,23,254,1731.988189,1731,"$1,500-$1,749 ($78,000-$90,999)"
Calga - Kulnura,0,0,0,0,3,3,10,8,5,7,8,5,6,6,61,1803.688525,1803,"$1,750-$1,999 ($91,000-$103,999)"
Erina - Green Point,0,0,7,0,7,26,34,55,44,49,49,88,17,71,447,1899.720358,1899,"$1,750-$1,999 ($91,000-$103,999)"
Gosford - Springfield,0,0,6,10,16,30,48,102,144,146,116,128,36,61,843,1768.979834,1768,"$1,750-$1,999 ($91,000-$103,999)"
Kariong,0,0,0,0,4,15,16,21,20,21,25,31,3,0,156,1558.974359,1558,"$1,500-$1,749 ($78,000-$90,999)"
Kincumber - Picketts Valley,0,0,0,3,15,17,14,21,25,34,17,31,7,10,194,1580.025773,1580,"$1,500-$1,749 ($78,000-$90,999)"
Narara,0,0,0,0,6,8,18,28,43,49,29,38,3,0,222,1572.972973,1572,"$1,500-$1,749 ($78,000-$90,999)"
Niagara Park - Lisarow,0,3,0,3,5,9,20,20,47,33,32,32,8,10,222,1671.959459,1671,"$1,500-$1,749 ($78,000-$90,999)"
Point Clare - Koolewong,0,0,3,0,9,9,16,21,19,39,22,35,3,4,180,1581.388889,1581,"$1,500-$1,749 ($78,000-$90,999)"
Saratoga - Davistown,0,0,4,0,5,18,9,16,29,23,29,35,5,5,178,1643.539326,1643,"$1,500-$1,749 ($78,000-$90,999)"
Terrigal - North Avoca,4,0,0,6,18,23,46,63,73,82,75,111,25,107,633,1938.862559,1938,"$1,750-$1,999 ($91,000-$103,999)"
Umina - Booker Bay - Patonga,3,0,4,6,17,22,30,40,63,55,45,66,3,15,369,1562.466125,1562,"$1,500-$1,749 ($78,000-$90,999)"
Wamberal - Forresters Beach,0,0,0,0,13,20,22,49,49,54,32,55,15,81,390,1967.692308,1967,"$1,750-$1,999 ($91,000-$103,999)"
Woy Woy - Blackwall,0,0,0,3,24,16,16,32,30,24,27,26,3,4,205,1450.731707,1450,"$1,250-$1,499 ($65,000-$77,999)"
Wyoming,0,0,4,6,17,12,30,39,46,42,36,48,4,6,290,1513.62069,1513,"$1,500-$1,749 ($78,000-$90,999)"
Bateau Bay - Killarney Vale,0,6,7,3,19,35,50,57,72,60,55,53,6,13,436,1488.417431,1488,"$1,250-$1,499 ($65,000-$77,999)"
Blue Haven - San Remo,0,0,0,0,12,10,18,11,25,21,22,16,4,0,139,1505.215827,1505,"$1,500-$1,749 ($78,000-$90,999)"
Budgewoi - Buff Point - Halekulani,0,0,4,0,14,11,11,23,24,27,23,23,0,5,165,1504.242424,1504,"$1,500-$1,749 ($78,000-$90,999)"
Chittaway Bay - Tumbi Umbi,5,0,0,11,12,21,24,46,69,37,39,47,6,17,334,1558.158683,1558,"$1,500-$1,749 ($78,000-$90,999)"
Gorokan - Kanwal - Charmhaven,0,6,0,3,19,18,35,52,47,49,43,29,4,7,312,1475.320513,1475,"$1,250-$1,499 ($65,000-$77,999)"
Jilliby - Yarramalong,0,0,0,0,0,3,5,5,14,7,4,15,0,6,59,1729.661017,1729,"$1,500-$1,749 ($78,000-$90,999)"
Lake Munmorah - Mannering Park,0,0,4,4,9,11,18,30,23,21,11,10,3,7,151,1407.615894,1407,"$1,250-$1,499 ($65,000-$77,999)"
Ourimbah - Fountaindale,0,0,5,4,3,6,13,21,23,30,19,18,7,11,160,1673.90625,1673,"$1,500-$1,749 ($78,000-$90,999)"
Summerland Point - Gwandalan,0,0,0,6,3,9,9,16,10,15,7,17,0,0,92,1353.804348,1353,"$1,250-$1,499 ($65,000-$77,999)"
The Entrance,0,0,3,9,14,18,30,42,46,40,33,35,6,15,291,1542.353952,1542,"$1,500-$1,749 ($78,000-$90,999)"
Toukley - Norah Head,3,0,0,0,8,17,17,29,20,26,26,13,0,4,163,1461.349693,1461,"$1,250-$1,499 ($65,000-$77,999)"
Tuggerah - Kangy Angy,0,0,0,3,3,8,5,18,8,14,9,21,3,9,101,1688.118812,1688,"$1,500-$1,749 ($78,000-$90,999)"
Warnervale - Wadalba,3,3,0,3,11,23,45,55,85,111,103,89,11,17,559,1689.624329,1689,"$1,500-$1,749 ($78,000-$90,999)"
Wyong,0,0,0,3,4,9,15,16,22,20,19,11,3,0,122,1494.262295,1494,"$1,250-$1,499 ($65,000-$77,999)"
Bathurst - East,0,0,0,4,5,21,16,28,38,37,28,39,11,14,241,1684.854772,1684,"$1,500-$1,749 ($78,000-$90,999)"
Bathurst Surrounds,0,0,0,4,7,9,9,21,25,12,20,23,0,7,137,1573.540146,1573,"$1,500-$1,749 ($78,000-$90,999)"
Oberon,0,0,0,0,3,4,9,9,12,9,7,13,0,3,69,1541.304348,1541,"$1,500-$1,749 ($78,000-$90,999)"
Bathurst - South,0,4,0,3,3,17,13,42,46,42,25,40,11,20,266,1691.729323,1691,"$1,500-$1,749 ($78,000-$90,999)"
Bathurst - West,0,0,3,0,4,11,19,38,35,46,56,63,9,32,316,1877.927215,1877,"$1,750-$1,999 ($91,000-$103,999)"
Condobolin,0,0,0,0,6,5,4,8,21,17,12,9,3,3,88,1628.409091,1628,"$1,500-$1,749 ($78,000-$90,999)"
Cowra,0,0,0,3,0,9,18,27,22,11,7,15,0,13,125,1549.6,1549,"$1,500-$1,749 ($78,000-$90,999)"
Cowra Surrounds,0,0,0,0,0,5,5,4,14,14,8,10,3,5,68,1773.897059,1773,"$1,750-$1,999 ($91,000-$103,999)"
Forbes,0,0,0,5,0,6,8,22,27,28,17,26,8,15,162,1795.833333,1795,"$1,750-$1,999 ($91,000-$103,999)"
Grenfell,0,0,3,0,0,7,3,0,3,0,0,6,0,0,22,1100,1100,"$1,000-$1,249 ($52,000-$64,999)"
Parkes (NSW),0,0,0,0,3,16,19,14,18,31,22,34,0,13,170,1679.705882,1679,"$1,500-$1,749 ($78,000-$90,999)"
Parkes Surrounds,0,5,5,0,6,0,6,10,3,7,9,8,0,0,59,1287.711864,1287,"$1,250-$1,499 ($65,000-$77,999)"
West Wyalong,0,0,0,0,5,4,4,8,9,9,4,14,0,4,61,1567.622951,1567,"$1,500-$1,749 ($78,000-$90,999)"
Lithgow,0,3,0,0,3,13,10,29,27,22,19,26,5,15,172,1693.75,1693,"$1,500-$1,749 ($78,000-$90,999)"
